Model,MAE,MSE,RMSE,R2,Training_Time,Inference_Time,Notes
Linear Regression,,,,,,,
Decision Tree,,,,,,,
Random Forest,,,,,,,
XGBoost,,,,,,,
ANN,,,,,,,
